surah_number,source_title_ar,canonical_name_ar,canonical_name_en,entry_toc_id,entry_section_id,entry_internal_page_start,entry_internal_page_end,entry_printed_page_start,entry_printed_page_end,ruus_mode,ruus_toc_id,ruus_section_id,ruus_internal_page_start,ruus_internal_page_end,ruus_printed_page_start,ruus_printed_page_end,traditional_title_note
1,سورة الحمد,الفاتحة,Al-Fatiha,12,surah.001.entry,121,121,139,139,separate_section,13,surah.001.ruus,121,121,139,139,Traditional title for al-Fatiha.
2,سورة البقرة,البقرة,Al-Baqara,14,surah.002.entry,122,122,140,140,separate_section,15,surah.002.ruus,123,124,141,142,
3,سورة آل عمران,آل عمران,Al Imran,16,surah.003.entry,125,125,143,143,separate_section,17,surah.003.ruus,126,127,144,145,
4,سورة النساء,النساء,An-Nisa,18,surah.004.entry,128,128,146,146,separate_section,19,surah.004.ruus,129,130,147,148,
5,سورة المائدة,المائدة,Al-Maida,20,surah.005.entry,131,131,149,149,separate_section,21,surah.005.ruus,132,132,150,150,
6,سورة الأنعام,الأنعام,Al-Anam,22,surah.006.entry,133,134,151,152,separate_section,23,surah.006.ruus,135,136,153,154,
7,سورة الأعراف,الأعراف,Al-Araf,24,surah.007.entry,137,139,155,157,inline_or_missing_heading,,,,,,,
8,سورة الأنفال,الأنفال,Al-Anfal,25,surah.008.entry,140,140,158,158,separate_section,26,surah.008.ruus,141,141,159,159,
9,سورة التوبة,التوبة,At-Tawba,27,surah.009.entry,142,143,160,161,separate_section,28,surah.009.ruus,144,144,162,162,
10,سورة يونس ﵇,يونس,Yunus,29,surah.010.entry,145,145,163,163,separate_section,30,surah.010.ruus,146,146,164,164,
11,سورة هود ﵇,هود,Hud,31,surah.011.entry,147,147,165,165,separate_section,32,surah.011.ruus,148,148,166,166,
12,سورة يوسف ﵇,يوسف,Yusuf,33,surah.012.entry,149,149,167,167,separate_section,34,surah.012.ruus,150,150,168,168,
13,سورة الرعد,الرعد,Ar-Rad,35,surah.013.entry,151,151,169,169,separate_section,36,surah.013.ruus,152,152,170,170,
14,سورة إبراهيم ﵇,إبراهيم,Ibrahim,37,surah.014.entry,153,153,171,171,separate_section,38,surah.014.ruus,154,154,172,172,
15,سورة الحجر,الحجر,Al-Hijr,39,surah.015.entry,155,155,173,173,separate_section,40,surah.015.ruus,155,156,173,174,
16,سورة النحل,النحل,An-Nahl,41,surah.016.entry,157,157,175,175,separate_section,42,surah.016.ruus,157,158,175,176,
17,سورة الإسراء,الإسراء,Al-Isra,43,surah.017.entry,159,160,177,178,inline_marker,,,,,,,
18,سورة الكهف,الكهف,Al-Kahf,44,surah.018.entry,161,161,179,179,separate_section,45,surah.018.ruus,162,162,180,180,
19,سورة مريم,مريم,Maryam,46,surah.019.entry,163,163,181,181,separate_section,47,surah.019.ruus,164,164,182,182,
20,سورة طه,طه,Ta-Ha,48,surah.020.entry,165,166,183,184,separate_section,49,surah.020.ruus,167,168,185,186,
21,سورة الأنبياء,الأنبياء,Al-Anbiya,50,surah.021.entry,169,169,187,187,separate_section,51,surah.021.ruus,170,170,188,188,
22,سورة الحج,الحج,Al-Hajj,52,surah.022.entry,171,172,189,190,separate_section,53,surah.022.ruus,172,172,190,190,
23,سورة المؤمنون,المؤمنون,Al-Muminun,54,surah.023.entry,173,173,191,191,separate_section,55,surah.023.ruus,173,174,191,192,
24,سورة النور,النور,An-Nur,56,surah.024.entry,175,175,193,193,separate_section,57,surah.024.ruus,175,175,193,193,
25,سورة الفرقان,الفرقان,Al-Furqan,58,surah.025.entry,176,176,194,194,separate_section,59,surah.025.ruus,177,177,195,195,
26,سورة الشعراء,الشعراء,Ash-Shuara,60,surah.026.entry,178,178,196,196,separate_section,61,surah.026.ruus,179,180,197,198,
